WHORegionName,Year,Iso3,CountryTerritoryArea,Specimen,PathogenName,AntibioticName,InterpretableAST,Resistant,ResistancePercentage,SourceFile
African Region,2020,ETH,Ethiopia,Bloodstream,Acinetobacter spp.,Amikacin,60,8,13.333333333,1784926461573_Resistance_to_antibiotics_in_2020_African_Region-Bloodstream.csv
African Region,2020,ETH,Ethiopia,Bloodstream,Acinetobacter spp.,Gentamicin,35,21,60,1784926461573_Resistance_to_antibiotics_in_2020_African_Region-Bloodstream.csv
African Region,2020,ETH,Ethiopia,Bloodstream,Acinetobacter spp.,Meropenem,46,31,67.391304348,1784926461573_Resistance_to_antibiotics_in_2020_African_Region-Bloodstream.csv
African Region,2020,LBR,Liberia,Bloodstream,Acinetobacter spp.,Imipenem,19,5,26.315789474,1784926461573_Resistance_to_antibiotics_in_2020_African_Region-Bloodstream.csv
African Region,2020,MWI,Malawi,Bloodstream,Acinetobacter spp.,Gentamicin,359,251,69.91643454,1784926461573_Resistance_to_antibiotics_in_2020_African_Region-Bloodstream.csv
African Region,2020,MWI,Malawi,Bloodstream,Acinetobacter spp.,Meropenem,359,277,77.158774373,1784926461573_Resistance_to_antibiotics_in_2020_African_Region-Bloodstream.csv
African Region,2020,MLI,Mali,Bloodstream,Acinetobacter spp.,Imipenem,13,4,30.769230769,1784926461573_Resistance_to_antibiotics_in_2020_African_Region-Bloodstream.csv
African Region,2020,MUS,Mauritius,Bloodstream,Acinetobacter spp.,Amikacin,291,158,54.295532646,1784926461573_Resistance_to_antibiotics_in_2020_African_Region-Bloodstream.csv
African Region,2020,MUS,Mauritius,Bloodstream,Acinetobacter spp.,Colistin,288,24,8.333333333,1784926461573_Resistance_to_antibiotics_in_2020_African_Region-Bloodstream.csv
African Region,2020,MUS,Mauritius,Bloodstream,Acinetobacter spp.,Gentamicin,289,187,64.705882353,1784926461573_Resistance_to_antibiotics_in_2020_African_Region-Bloodstream.csv
African Region,2020,MUS,Mauritius,Bloodstream,Acinetobacter spp.,Imipenem,288,192,66.666666667,1784926461573_Resistance_to_antibiotics_in_2020_African_Region-Bloodstream.csv
African Region,2020,MUS,Mauritius,Bloodstream,Acinetobacter spp.,Meropenem,288,191,66.319444444,1784926461573_Resistance_to_antibiotics_in_2020_African_Region-Bloodstream.csv
African Region,2020,NGA,Nigeria,Bloodstream,Acinetobacter spp.,Amikacin,12,4,33.333333333,1784926461573_Resistance_to_antibiotics_in_2020_African_Region-Bloodstream.csv
African Region,2020,ZAF,South Africa,Bloodstream,Acinetobacter spp.,Amikacin,2606,1606,61.627014582,1784926461573_Resistance_to_antibiotics_in_2020_African_Region-Bloodstream.csv
African Region,2020,ZAF,South Africa,Bloodstream,Acinetobacter spp.,Gentamicin,4544,3178,69.938380282,1784926461573_Resistance_to_antibiotics_in_2020_African_Region-Bloodstream.csv
African Region,2020,ZAF,South Africa,Bloodstream,Acinetobacter spp.,Imipenem,4452,3277,73.607367475,1784926461573_Resistance_to_antibiotics_in_2020_African_Region-Bloodstream.csv
African Region,2020,ZAF,South Africa,Bloodstream,Acinetobacter spp.,Meropenem,4502,3331,73.989338072,1784926461573_Resistance_to_antibiotics_in_2020_African_Region-Bloodstream.csv
African Region,2020,ZAF,South Africa,Bloodstream,Acinetobacter spp.,Minocycline,55,32,58.181818182,1784926461573_Resistance_to_antibiotics_in_2020_African_Region-Bloodstream.csv
African Region,2020,ZAF,South Africa,Bloodstream,Acinetobacter spp.,Tigecycline,3166,73,2.305748579,1784926461573_Resistance_to_antibiotics_in_2020_African_Region-Bloodstream.csv
African Region,2020,TZA,United Republic of Tanzania,Bloodstream,Acinetobacter spp.,Gentamicin,15,5,33.333333333,1784926461573_Resistance_to_antibiotics_in_2020_African_Region-Bloodstream.csv
